PostId,TopicId
37296,42
65487,42
199056,42
202334,42
287309,42
296513,42
307291,42
345280,42
406518,43
471029,25
472030,42
474933,8
475200,42
478158,42
480316,46
480683,42
522814,42
530906,42
573620,42
579203,18
628297,42
673617,42
689827,20
704234,46
710843,42
719004,42
719820,14
740389,42
744237,25
744801,42
767444,42
770238,18
795979,42
815423,42
819866,42
825162,17
834352,42
838782,36
871560,42
879432,42
949730,42
951326,42
957320,37
977689,12
984847,42
1007215,17
1055811,26
1072097,42
1132805,48
1142294,34
1148513,38
1148727,42
1206284,42
1254627,42
1273525,42
1281303,42
1289920,42
1291027,11
1291377,6
1298607,43
1351824,42
1373516,46
1402370,42
1526332,42
1530604,38
1552039,48
1559851,42
1565115,11
1576129,46
1584897,42
1602302,42
1622371,13
1624060,42
1639755,46
1672850,11
1676902,8
1686567,46
1697013,14
1697243,44
1710660,42
1731744,4
1735125,37
1741228,11
1754115,44
1754873,46
1757224,42
1766461,48
1783669,42
1806827,33
1810248,42
1813913,42
1817442,36
1832076,42
1836853,42
1870813,42
1874645,48
1877505,42
1898768,6
1903165,43
1916892,44
1958267,38
1960430,33
1965540,42
1994431,42
2002521,42
2047943,5
2066005,42
2074956,42
2078800,42
2079772,14
2087735,46
2092403,42
2098956,42
2103152,2
2106535,42
2106766,42
2113570,42
2115194,42
2115364,42
2121655,11
2126383,42
2139940,37
2148543,13
2148942,43
2163267,42
2178624,11
2190732,11
2196124,34
2233435,42
2239266,44
2255833,42
2265105,48
2268885,42
2275761,38
2284059,48
2286438,44
2286442,42
2293208,42
2293890,14
2298201,42
2303098,42
2303510,42
2304726,42
2314850,43
2383936,42
2396639,43
2402865,42
2403921,20
2415418,48
2415557,38
2417716,11
2425549,42
2429953,42
2430197,42
2430317,36
2434536,42
2444953,18
2474460,38
2480363,20
2480650,11
2484761,27
2492674,14
2496270,48
2500467,42
2509631,42
2517591,46
2519997,13
2520018,48
2523956,42
2524129,42
2524608,34
2525087,46
2555049,42
2557289,42
2561513,44
2567483,44
2570152,48
2574915,46
2580062,42
2595176,42
2604159,42
2611765,42
2613368,36
2620343,42
2627833,42
2650982,6
2651579,11
2652121,42
2658384,42
2661778,18
2669777,42
2674430,48
2680600,11
2686981,42
2691021,44
2696392,18
2707848,11
2717476,42
2717976,42
2723999,42
2745640,42
2749150,42
2749498,48
2750105,42
2750608,44
2753906,43
2754680,27
2755415,42
2755431,41
2757856,41
2761008,48
2761240,42
2761590,13
2762146,43
2762215,37
2763908,44
2781752,42
2785382,11
2794240,42
2794272,8
2813349,42
2821575,42
2828954,42
2829340,42
2846038,6
2854540,42
2874657,42
2904380,14
2907919,46
2908923,14
2915341,42
2929023,6
2931239,42
2931318,42
2940606,48
2940644,46
2967584,42
2977999,34
2978286,46
2981764,42
2982929,46
2983472,4
2985135,3
2995886,48
3017455,18
3017701,42
3030652,42
3031542,38
3043033,20
3047843,42
3047940,27
3048170,26
3068658,42
3070789,38
3076208,42
3077380,42
3086304,42
3109773,42
3113428,48
3113661,33
3118687,42
3120839,11
3125527,42
3128636,11
3167024,42
3172509,49
3176967,42
3193756,44
3198111,15
3208927,42
3213651,42
3216440,42
3222192,48
3237847,33
3247952,44
3262874,48
3289589,33
3299960,42
3311485,18
3315558,13
3326145,46
3326310,42
3335742,42
3337272,42
3339937,42
3345079,11
3365952,25
3387196,25
3408867,25
3415214,42
3416522,38
3417709,42
3419400,18
3431505,48
3446622,48
3457158,42
3473612,48
3486181,42
3489558,42
3491112,42
3495157,42
3496272,42
3508947,42
3513753,42
3539657,42
3557422,38
3561947,27
3590001,42
3609303,42
3619184,42
3638488,42
3648917,43
3657801,46
3663605,43
3669226,33
3686661,48
3687231,33
3688075,44
3701278,6
3725279,43
3730118,44
3747585,33
3754051,39
3764444,42
3770678,42
3775032,11
3777154,11
3789856,43
3800853,42
3807531,6
3820707,42
3837692,17
3838785,48
3840478,42
3853490,42
3854404,6
3856013,44
3865650,13
3871473,43
3890734,18
3902137,48
3906682,42
3910617,48
3920759,18
3934160,42
3967460,42
3967904,43
3976481,42
3992314,43
3997454,38
4011115,44
4011526,34
4013525,14
4056431,42
4084668,46
4091172,0
4092061,42
4092774,42
4096747,42
4098581,46
4100785,43
4102306,46
4102357,46
4105538,11
4111979,42
4126283,42
4137544,42
4137622,42
4189293,37
4190455,43
4205105,42
4207057,18
4210142,42
4214868,38
4234921,43
4256948,42
4262000,27
4263704,42
4274218,46
4279421,18
4286540,42
4290164,42
4295445,46
4303283,42
4304810,48
4314869,46
4316099,42
4353715,42
4362569,42
4382999,48
4394013,46
4400697,42
4402110,14
4404081,46
4411181,42
4418450,46
4438079,11
4483498,42
4496391,18
4507793,42
4542367,38
4543266,42
4550443,48
4558830,46
4578473,33
4601570,46
4617259,42
4617365,37
4629505,38
4634788,27
4636296,13
4648064,46
4649625,42
4663002,42
4663379,11
4693940,42
4726626,33
4734602,42
4743996,42
4751091,42
4752626,37
4764298,42
4770061,42
4771293,42
4789318,42
4801259,14
4811995,42
4816546,42
4817308,42
4819437,42
4835177,36
4884654,36
4888064,25
4893961,42
4894396,42
4903092,13
4915315,42
4926447,44
4934203,48
4936788,42
4949945,44
4959723,42
4976539,38
4983882,33
4986599,42
4993292,48
4995381,42
5001877,48
5034094,43
5055112,48
5064928,42
5087635,43
5104304,48
5107643,42
5109869,48
5114826,44
5117337,17
5146973,48
5159426,38
5163284,42
5168342,20
5168728,42
5192165,11
5200163,43
5206166,42
5206301,14
5212421,42
5215856,6
5217170,48
5222731,48
5233074,42
5251430,42
5253362,42
5258740,2
5262449,42
5263846,42
5264492,5
5265416,42
5291557,48
5319279,43
5329262,42
5353124,42
5371404,48
5394653,42
5395776,42
5400905,46
5410505,42
5410774,42
5438301,42
5443456,48
5448087,42
5451004,18
5457948,11
5459612,48
5460261,42
5465447,33
5466323,46
5499448,48
5503820,34
5515675,46
5527059,42
5529625,46
5545766,42
5548894,8
5551172,38
5552859,18
5555170,42
5556964,42
5557202,48
5558745,15
5571339,44
5577164,42
5582374,46
5602859,8
5605090,44
5614465,42
5628863,42
5646120,33
5648500,22
5652357,42
5672530,44
5684158,42
5693253,48
5700621,42
5700929,42
5703013,48
5709309,42
5711605,42
5731169,48
5741135,42
5749867,42
5751114,46
5753842,11
5757233,42
5757407,44
5765836,42
5779011,42
5792141,15
5799026,42
5813476,42
5822477,42
5835883,14
5837818,25
5849721,42
5857490,43
5866710,48
5885762,42
5889179,4
5891727,43
5897082,42
5920859,48
5926386,46
5932172,42
5943611,42
5988574,44
5989096,11
5998951,38
6005165,42
6006931,48
6041972,33
6064456,14
6097314,48
6116718,18
6158161,42
6162186,33
6172159,48
6172746,14
6174011,46
6191129,42
6206250,46
6219663,42
6227025,42
6250178,20
6261253,8
6290057,27
6311829,42
6321476,4
6323740,25
6336733,42
6353537,46
6377922,8
6396772,14
6405950,8
6412215,42
6413381,46
6419032,12
6429772,42
6445875,0
6448608,46
6463617,37
6476934,42
6481024,11
6482046,44
6482152,44
6482664,48
6485699,46
6487900,33
6501521,42
6501830,48
6503419,42
6514579,12
6517490,42
6527276,44
6534855,42
6541141,44
6542274,42
6546463,48
6554796,33
6579614,43
6585734,42
6593030,18
6593857,38
6602664,8
6604928,42
6607141,17
6608241,5
6612062,18
6613825,48
6615665,46
6615833,14
6629165,43
6639802,33
6644191,33
6659648,44
6660205,42
6663606,48
6678120,48
6682421,20
6691471,42
6699222,42
6700897,48
6702269,44
6706919,48
6709034,48
6714707,37
6723703,48
6726055,6
6726700,42
6728001,42
6746163,42
6776933,42
6797827,42
6806879,48
6811418,44
6816413,20
6829361,42
6834097,42
6864464,48
6866552,48
6890180,42
6892449,42
6933227,42
6943756,33
6945476,33
6955870,4
6967792,42
6971571,8
6987201,42
6987278,46
6990230,42
7011942,44
7011971,42
7042150,8
7047555,42
7058856,42
7084558,12
7098625,42
7099168,42
7105428,42
7114849,42
7155055,43
7174442,26
7175099,11
7175401,11
7177753,38
7182224,25
7194428,42
7211678,48
7213125,44
7226483,36
7238879,44
7253668,42
7260099,12
7261025,14
7273718,42
7280486,42
7289521,48
7289985,38
7297682,42
7297709,44
7306468,42
7314684,33
7315463,42
7317836,14
7318822,32
7326958,42
7365417,48
7371884,48
7390173,48
7391179,44
7391427,20
7391779,3
7411458,25
7412011,42
7428741,42
7450053,48
7451716,42
7452605,17
7452917,18
7462502,42
7464042,48
7466006,44
7471018,42
7474508,14
7481339,44
7492940,42
7497453,42
7499892,39
7502337,42
7507004,42
7509572,42
7526869,17
7531812,42
7535689,33
7535768,42
7538256,42
7538596,42
7539794,42
7542384,46
7545962,42
7550105,11
7551262,18
7554873,42
7573747,42
7578131,42
7594244,18
7597049,42
7601529,17
7619700,43
7623036,42
7631799,39
7636959,4
7637175,48
7640802,44
7643512,42
7656445,18
7665833,2
7670905,48
7677119,44
7689099,36
7694978,41
7697034,27
7698713,48
7699711,42
7701293,46
7702661,27
7706591,38
7709977,48
7711129,0
7713934,42
7714422,42
7715138,38
7715891,4
7718034,14
7733969,3
7735899,14
7736452,42
7741698,8
7742894,42
7743768,15
7751269,42
7752785,42
7761760,20
7761843,8
7762167,48
7770794,42
7771465,42
7773907,42
7774768,48
7783243,17
7792088,39
7808011,48
7815317,20
7841896,42
7861628,42
7869465,37
7880156,46
7897251,2
7901915,42
7911891,43
7921144,17
7922515,42
7945130,42
